dice,uncertainty,silent_fail
0.9607,0.0,0
0.6019,0.0,1
0.9203,0.0,0
0.915,0.0,0
0.7362,0.0,1
0.9214,0.0,0
0.8958,0.0,0
0.6825,0.0,1
0.8889,0.0,0
0.8526,0.0,0
0.9114,0.0,0
0.9756,0.0,0
0.9648,0.0,0
0.8715,0.0,0
0.9114,0.0,0
0.8396,0.0,0
0.9502,0.0,0
0.8744,0.0,0
0.6282,0.0,1
0.9298,0.0,0
0.6479,0.0,1
0.7678,0.0,1
0.8768,0.0,0
0.952,0.0,0
0.7954,0.0,1
0.5069,0.0,1
0.7395,0.0,1
0.473,0.0,1
0.9351,0.0,0
0.2573,0.0,1
0.5813,0.0,1
0.9282,0.0,0
0.8785,0.0,0
0.9398,0.0,0
0.9712,0.0,0
0.8595,0.0,0
0.9291,0.0,0
0.9131,0.0,0
0.6879,0.0,1
0.9345,0.0,0
0.7954,0.0,1
0.6415,0.0,1
0.9261,0.0,0
0.531,0.0,1
0.8767,0.0,0
0.3975,0.0,1
0.3497,0.0,1
0.9318,0.0,0
0.9397,0.0,0
0.9534,0.0,0
0.7003,0.0,1
0.8761,0.0,0
0.934,0.0,0
0.7874,0.0,1
0.8854,0.0,0
0.9398,0.0,0
0.9039,0.0,0
0.7589,0.0,1
0.9593,0.0,0
0.9419,0.0,0
0.6417,0.0,1
0.8685,0.0,0
0.6975,0.0,1
0.021,0.0,1
0.4011,0.0,1
0.9331,0.0,0
0.88,0.0,0
0.7105,0.0,1
0.6179,0.0,1
0.9535,0.0,0
0.7396,0.0,1
0.8392,0.0,0
0.916,0.0,0
0.9549,0.0,0
0.8428,0.0,0
0.9237,0.0,0
0.9529,0.0,0
0.9514,0.0,0
0.964,0.0,0
0.7947,0.0,1
0.6364,0.0,1
0.9165,0.0,0
0.868,0.0,0
0.8951,0.0,0
0.869,0.0,0
0.9614,0.0,0
0.9244,0.0,0
0.555,0.0,1
0.9602,0.0,0
0.8168,0.0,0
0.7566,0.0,1
0.6561,0.0,1
0.8805,0.0,0
0.888,0.0,0
0.843,0.0,0
0.51,0.0,1
0.9433,0.0,0
0.9445,0.0,0
0.9127,0.0,0
0.932,0.0,0
0.6143,0.0,1
0.8385,0.0,0
0.9423,0.0,0
0.8874,0.0,0
0.8198,0.0,0
0.7072,0.0,1
0.9082,0.0,0
0.5201,0.0,1
0.9477,0.0,0
0.9319,0.0,0
0.9562,0.0,0
0.5356,0.0,1
0.8516,0.0,0
0.2874,0.0,1
0.9616,0.0,0
0.9646,0.0,0
0.8347,0.0,0
0.7103,0.0,1
0.8387,0.0,0
0.6435,0.0,1
0.855,0.0,0
0.8961,0.0,0
0.9602,0.0,0
0.4526,0.0,1
0.9045,0.0,0
0.5829,0.0,1
0.5367,0.0,1
0.9115,0.0,0
0.927,0.0,0
0.9492,0.0,0
0.9623,0.0,0
0.6401,0.0,1
0.7227,0.0,1
0.7472,0.0,1
0.9768,0.0,0
0.9009,0.0,0
0.9223,0.0,0
0.6574,0.0,1
0.7547,0.0,1
0.8442,0.0,0
0.7999,0.0,1
0.9063,0.0,0
0.1485,0.0,1
0.9258,0.0,0
0.8458,0.0,0
0.9248,0.0,0
0.9349,0.0,0
0.5105,0.0,1
0.9198,0.0,0
0.7937,0.0,1
0.9709,0.0,0
0.9439,0.0,0
0.6878,0.0,1
0.7146,0.0,1
0.9479,0.0,0
0.917,0.0,0
0.8389,0.0,0
0.9297,0.0,0
0.9409,0.0,0
0.8795,0.0,0
0.3737,0.0,1
0.9195,0.0,0
0.8322,0.0,0
0.906,0.0,0
0.7841,0.0,1
0.9393,0.0,0
0.7417,0.0,1
0.7768,0.0,1
0.5367,0.0,1
0.8529,0.0,0
0.7367,0.0,1
0.7406,0.0,1
0.933,0.0,0
0.8025,0.0,0
0.7877,0.0,1
0.8418,0.0,0
0.9034,0.0,0
0.9682,0.0,0
0.7474,0.0,1
0.9492,0.0,0
0.6998,0.0,1
0.7634,0.0,1
0.9505,0.0,0
0.7746,0.0,1
0.4122,0.0,1
0.8643,0.0,0
0.967,0.0,0
0.9189,0.0,0
0.9306,0.0,0
0.9424,0.0,0
0.9567,0.0,0
0.8021,0.0,0
0.9444,0.0,0
0.8306,0.0,0
0.8553,0.0,0
0.8008,0.0,0
0.783,0.0,1
0.9123,0.0,0
0.4185,0.0,1
0.0096,0.0,1
