dice,hc_gt_mm,tertile
0.9607,176.7,T2
0.6019,79.0,T1
0.9203,155.34,T1
0.915,77.2,T1
0.7362,176.8,T3
0.9214,176.23,T2
0.8958,175.3,T2
0.6825,163.18,T2
0.8889,118.17,T1
0.8526,76.6,T1
0.9114,169.7,T2
0.9756,162.25,T2
0.9648,173.2,T2
0.8715,180.82,T3
0.9114,160.4,T2
0.8396,74.61,T1
0.9502,75.3,T1
0.8744,176.9,T3
0.6282,191.47,T3
0.9298,299.97,T3
0.6479,171.2,T2
0.7678,305.99,T3
0.8768,65.37,T1
0.952,183.13,T3
0.7954,176.52,T2
0.5069,131.1,T1
0.7395,177.76,T3
0.473,69.3,T1
0.9351,72.7,T1
0.2573,165.68,T2
0.5813,238.51,T3
0.9282,177.0,T3
0.8785,176.7,T2
0.9398,79.0,T1
0.9712,155.34,T1
0.8595,77.2,T1
0.9291,176.8,T3
0.9131,176.23,T2
0.6879,175.3,T2
0.9345,163.18,T2
0.7954,118.17,T1
0.6415,76.6,T1
0.9261,169.7,T2
0.531,162.25,T2
0.8767,173.2,T2
0.3975,180.82,T3
0.3497,160.4,T2
0.9318,74.61,T1
0.9397,75.3,T1
0.9534,176.9,T3
0.7003,191.47,T3
0.8761,299.97,T3
0.934,171.2,T2
0.7874,305.99,T3
0.8854,65.37,T1
0.9398,183.13,T3
0.9039,176.52,T2
0.7589,131.1,T1
0.9593,177.76,T3
0.9419,69.3,T1
0.6417,72.7,T1
0.8685,165.68,T2
0.6975,238.51,T3
0.021,177.0,T3
0.4011,176.7,T2
0.9331,79.0,T1
0.88,155.34,T1
0.7105,77.2,T1
0.6179,176.8,T3
0.9535,176.23,T2
0.7396,175.3,T2
0.8392,163.18,T2
0.916,118.17,T1
0.9549,76.6,T1
0.8428,169.7,T2
0.9237,162.25,T2
0.9529,173.2,T2
0.9514,180.82,T3
0.964,160.4,T2
0.7947,74.61,T1
0.6364,75.3,T1
0.9165,176.9,T3
0.868,191.47,T3
0.8951,299.97,T3
0.869,171.2,T2
0.9614,305.99,T3
0.9244,65.37,T1
0.555,183.13,T3
0.9602,176.52,T2
0.8168,131.1,T1
0.7566,177.76,T3
0.6561,69.3,T1
0.8805,72.7,T1
0.888,165.68,T2
0.843,238.51,T3
0.51,177.0,T3
0.9433,176.7,T2
0.9445,79.0,T1
0.9127,155.34,T1
0.932,77.2,T1
0.6143,176.8,T3
0.8385,176.23,T2
0.9423,175.3,T2
0.8874,163.18,T2
0.8198,118.17,T1
0.7072,76.6,T1
0.9082,169.7,T2
0.5201,162.25,T2
0.9477,173.2,T2
0.9319,180.82,T3
0.9562,160.4,T2
0.5356,74.61,T1
0.8516,75.3,T1
0.2874,176.9,T3
0.9616,191.47,T3
0.9646,299.97,T3
0.8347,171.2,T2
0.7103,305.99,T3
0.8387,65.37,T1
0.6435,183.13,T3
0.855,176.52,T2
0.8961,131.1,T1
0.9602,177.76,T3
0.4526,69.3,T1
0.9045,72.7,T1
0.5829,165.68,T2
0.5367,238.51,T3
0.9115,177.0,T3
0.927,176.7,T2
0.9492,79.0,T1
0.9623,155.34,T1
0.6401,77.2,T1
0.7227,176.8,T3
0.7472,176.23,T2
0.9768,175.3,T2
0.9009,163.18,T2
0.9223,118.17,T1
0.6574,76.6,T1
0.7547,169.7,T2
0.8442,162.25,T2
0.7999,173.2,T2
0.9063,180.82,T3
0.1485,160.4,T2
0.9258,74.61,T1
0.8458,75.3,T1
0.9248,176.9,T3
0.9349,191.47,T3
0.5105,299.97,T3
0.9198,171.2,T2
0.7937,305.99,T3
0.9709,65.37,T1
0.9439,183.13,T3
0.6878,176.52,T2
0.7146,131.1,T1
0.9479,177.76,T3
0.917,69.3,T1
0.8389,72.7,T1
0.9297,165.68,T2
0.9409,238.51,T3
0.8795,177.0,T3
0.3737,176.7,T2
0.9195,79.0,T1
0.8322,155.34,T1
0.906,77.2,T1
0.7841,176.8,T3
0.9393,176.23,T2
0.7417,175.3,T2
0.7768,163.18,T2
0.5367,118.17,T1
0.8529,76.6,T1
0.7367,169.7,T2
0.7406,162.25,T2
0.933,173.2,T2
0.8025,180.82,T3
0.7877,160.4,T2
0.8418,74.61,T1
0.9034,75.3,T1
0.9682,176.9,T3
0.7474,191.47,T3
0.9492,299.97,T3
0.6998,171.2,T2
0.7634,305.99,T3
0.9505,65.37,T1
0.7746,183.13,T3
0.4122,176.52,T2
0.8643,131.1,T1
0.967,177.76,T3
0.9189,69.3,T1
0.9306,72.7,T1
0.9424,165.68,T2
0.9567,238.51,T3
0.8021,177.0,T3
0.9444,176.7,T2
0.8306,79.0,T1
0.8553,155.34,T1
0.8008,77.2,T1
0.783,176.8,T3
0.9123,176.23,T2
0.4185,175.3,T2
0.0096,163.18,T2
